// Réseau routier simplifié de Cotonou
// 0=Ganhi  1=Dantokpa  2=Akpakpa  3=Cadjehoun
// 4=Cotonou-Centre  5=Godomey  6=Fidjrossè  7=Agla
//
// Distances depuis 0 : [0, 5, 13, 12, 8, 14, 22, 17]
//   0→0 : 0
//   0→1 : 5 (direct)
//   0→2 : 13 (0→1→2 = 5+8)
//   0→3 : 12 (0→3 direct, ou 0→1→4→3 = 5+3+4)
//   0→4 : 8 (0→1→4 = 5+3)
//   0→5 : 14 (0→1→4→5 = 5+3+6)
//   0→6 : 22 (0→3→6 = 12+10)
//   0→7 : 17 (0→1→4→7 = 5+3+9 ou 0→1→4→5→7 = 5+3+6+3)
8 14
0 1 5
0 3 12
0 5 15
1 2 8
1 4 3
2 4 7
3 4 4
3 6 10
4 5 6
4 7 9
5 7 3
6 7 8
5 6 12
2 7 11
